language,symbol,kind,source_rule
go,_expression,NONTERMINAL,variadic_argument
go,_expression,NONTERMINAL,special_argument_list
go,_type,NONTERMINAL,special_argument_list
go,_expression,NONTERMINAL,argument_list
go,variadic_argument,NONTERMINAL,argument_list
go,_expression,NONTERMINAL,selector_expression
go,_field_identifier,NONTERMINAL,selector_expression
go,_expression,NONTERMINAL,index_expression
go,_expression,NONTERMINAL,slice_expression
go,_expression,NONTERMINAL,type_assertion_expression
go,_type,NONTERMINAL,type_assertion_expression
go,_expression,NONTERMINAL,type_conversion_expression
go,_type,NONTERMINAL,type_conversion_expression
go,_type,NONTERMINAL,type_instantiation_expression
go,_type_identifier,NONTERMINAL,composite_literal
go,array_type,NONTERMINAL,composite_literal
go,generic_type,NONTERMINAL,composite_literal
go,implicit_length_array_type,NONTERMINAL,composite_literal
go,literal_value,NONTERMINAL,composite_literal
go,map_type,NONTERMINAL,composite_literal
go,qualified_type,NONTERMINAL,composite_literal
go,slice_type,NONTERMINAL,composite_literal
go,struct_type,NONTERMINAL,composite_literal
go,keyed_element,NONTERMINAL,literal_value
go,literal_element,NONTERMINAL,literal_value
go,_expression,NONTERMINAL,literal_element
go,literal_value,NONTERMINAL,literal_element
go,literal_element,NONTERMINAL,keyed_element
go,_simple_type,NONTERMINAL,func_literal
go,block,NONTERMINAL,func_literal
go,parameter_list,NONTERMINAL,func_literal
go,_expression,NONTERMINAL,unary_expression
go,_expression,NONTERMINAL,binary_expression
go,_package_identifier,NONTERMINAL,qualified_type
go,_type_identifier,NONTERMINAL,qualified_type
go,identifier,NONTERMINAL,_type_identifier
go,identifier,NONTERMINAL,_field_identifier
go,identifier,NONTERMINAL,_package_identifier
go,interpreted_string_literal,NONTERMINAL,_string_literal
go,raw_string_literal,NONTERMINAL,_string_literal
go,escape_sequence,NONTERMINAL,interpreted_string_literal
rust,_statement,NONTERMINAL,source_file
rust,shebang,NONTERMINAL,source_file
rust,_declaration_statement,NONTERMINAL,_statement
rust,expression_statement,NONTERMINAL,_statement
rust,_expression,NONTERMINAL,expression_statement
rust,_expression_ending_with_block,NONTERMINAL,expression_statement
rust,associated_type,NONTERMINAL,_declaration_statement
rust,attribute_item,NONTERMINAL,_declaration_statement
rust,const_item,NONTERMINAL,_declaration_statement
rust,empty_statement,NONTERMINAL,_declaration_statement
rust,enum_item,NONTERMINAL,_declaration_statement
rust,extern_crate_declaration,NONTERMINAL,_declaration_statement
rust,foreign_mod_item,NONTERMINAL,_declaration_statement
rust,function_item,NONTERMINAL,_declaration_statement
rust,function_signature_item,NONTERMINAL,_declaration_statement
rust,impl_item,NONTERMINAL,_declaration_statement
rust,inner_attribute_item,NONTERMINAL,_declaration_statement
rust,let_declaration,NONTERMINAL,_declaration_statement
rust,macro_definition,NONTERMINAL,_declaration_statement
rust,macro_invocation,NONTERMINAL,_declaration_statement
rust,mod_item,NONTERMINAL,_declaration_statement
rust,static_item,NONTERMINAL,_declaration_statement
rust,struct_item,NONTERMINAL,_declaration_statement
rust,trait_item,NONTERMINAL,_declaration_statement
rust,type_item,NONTERMINAL,_declaration_statement
rust,union_item,NONTERMINAL,_declaration_statement
rust,use_declaration,NONTERMINAL,_declaration_statement
rust,_reserved_identifier,NONTERMINAL,macro_definition
rust,identifier,NONTERMINAL,macro_definition
rust,macro_rule,NONTERMINAL,macro_definition
rust,token_tree,NONTERMINAL,macro_rule
rust,token_tree_pattern,NONTERMINAL,macro_rule
rust,_non_special_token,NONTERMINAL,_token_pattern
rust,metavariable,NONTERMINAL,_token_pattern
rust,token_binding_pattern,NONTERMINAL,_token_pattern
rust,token_repetition_pattern,NONTERMINAL,_token_pattern
rust,token_tree_pattern,NONTERMINAL,_token_pattern
rust,_token_pattern,NONTERMINAL,token_tree_pattern
rust,fragment_specifier,NONTERMINAL,token_binding_pattern
rust,metavariable,NONTERMINAL,token_binding_pattern
rust,_token_pattern,NONTERMINAL,token_repetition_pattern
rust,_non_special_token,NONTERMINAL,_tokens
rust,metavariable,NONTERMINAL,_tokens
rust,token_repetition,NONTERMINAL,_tokens
rust,token_tree,NONTERMINAL,_tokens
rust,_tokens,NONTERMINAL,token_tree
rust,_tokens,NONTERMINAL,token_repetition
rust,_literal,NONTERMINAL,_non_special_token
rust,crate,NONTERMINAL,_non_special_token
rust,identifier,NONTERMINAL,_non_special_token
rust,mutable_specifier,NONTERMINAL,_non_special_token
rust,self,NONTERMINAL,_non_special_token
